similitud; oración1; oración2
neutral; Dos mujeres, sosteniendo recipientes de comida para llevar, se abrazan.; Las dos hermanas se vieron al otro lado del comedor abarrotado y compartieron un abrazo, ambas agarrando sus bolsas para perros.
contradicción; Dos mujeres, sosteniendo recipientes de comida para llevar, se abrazan.; Dos grupos de pandilleros rivales se voltearon entre sí.
vinculación; Dos mujeres, sosteniendo recipientes de comida para llevar, se abrazan.; Dos mujeres se abrazan.
neutral; Un equipo de Pequeñas Ligas intenta atrapar a un corredor que se desliza hacia una base en un juego de la tarde.; Un equipo está tratando de anotar los juegos ganando.
vinculación; Un equipo de las Pequeñas Ligas intenta atrapar a un corredor que se desliza hacia una base en un juego de la tarde.; Un equipo está tratando de eliminar a un corredor.
contradicción; Un equipo de las Pequeñas Ligas intenta atrapar a un corredor que se desliza hacia una base en un juego de la tarde.; Un equipo está jugando béisbol en Saturno.
contradicción; La escuela está teniendo un evento especial para mostrar a la cultura estadounidense cómo se tratan otras culturas en las fiestas.; Una escuela organiza un juego de baloncesto.
neutral; La escuela está teniendo un evento especial para mostrar la cultura estadounidense sobre cómo se tratan otras culturas en las fiestas.; Una escuela secundaria está organizando un evento.
vinculación; La escuela está organizando un evento especial para mostrar la cultura estadounidense sobre cómo se tratan otras culturas en las fiestas.; Una escuela está organizando un evento.
contradicción; damas de alta costura esperan afuera de un tranvía junto a una multitud de personas en la ciudad; a las mujeres no les importa qué ropa se vistan.
vinculación; Damas de alta costura esperan afuera de un tranvía junto a una multitud de personas en la ciudad.; Mujeres están esperando en un tranvía.
neutral; Las damas de alta costura esperan afuera de un tranvía junto a una multitud de personas en la ciudad.; Las mujeres disfrutan de tener un buen sentido de la moda.
neutral; Un hombre, una mujer y un niño divirtiéndose en una playa.; Un niño con mamá y papá, de vacaciones de verano en la playa.
vinculación; Un hombre, una mujer y un niño divirtiéndose en una playa.; Una familia de tres está en la playa.
contradicción; Un hombre, una mujer y un niño divirtiéndose en una playa.; Una familia de tres está en el centro comercial de compras.
neutral; Personas esperando para subir a un tren o simplemente bajándose.; Las personas que esperan en el tren están sentadas.
vinculación; Gente esperando para subir a un tren o simplemente bajarse.; Hay gente que acaba de subir a un tren
vinculación; Gente esperando para subir a un tren o simplemente bajarse.; Hay gente esperando en un tren.
vinculación; Una pareja jugando con un niño pequeño en la playa.; Una pareja está jugando con un niño pequeño afuera.
neutral; Una pareja jugando con un niño en la playa.; Una pareja está jugando al frisbee con un niño pequeño en la playa.
contradicción; Una pareja jugando con un niño en la playa.; Una pareja ve a una niña jugar sola en la playa.
contradicción; una pareja juega en la marea con su hijo pequeño; la familia se sienta a cenar.
vinculación; Una pareja juega en la marea con su hijo pequeño.; La familia está afuera.
neutral; una pareja juega en la marea con su hijo pequeño; la familia está de vacaciones.
contradicción; Un hombre y una mujer cruzan la calle frente a un restaurante de pizzas y giroscopios.; La gente está parada en la acera.
vinculación; Un hombre y una mujer cruzan la calle frente a un restaurante de pizza y gyro.; Cerca de un par de restaurantes, dos personas cruzan la calle.
neutral; Un hombre y una mujer cruzan la calle frente a un restaurante de pizzas y giroscopios.; La pareja cruza la calle juntos.
contradicción; Una mujer con chaqueta verde y capucha sobre la cabeza mirando hacia un valle.; La mujer está desnuda.
neutral; Una mujer con chaqueta verde y capucha sobre la cabeza mirando hacia un valle.; La mujer tiene frío.
vinculación; Una mujer con una chaqueta verde y capucha sobre la cabeza mirando hacia un valle.; La mujer está vestida de verde.
neutral; Mujer vestida de blanco en primer plano y un hombre un poco atrás caminando con un letrero de John's Pizza y Gyro al fondo.; El hombre con el letrero es caucásico.
contradicción; Mujer vestida de blanco en primer plano y un hombre un poco atrás caminando con un cartel de John's Pizza y Gyro al fondo.; Están protestando fuera de la capital.
vinculación; Mujer vestida de blanco en primer plano y un hombre un poco atrás caminando con un cartel de John's Pizza y Gyro al fondo.; Una mujer vestida de blanco.
vinculación; Mujer vestida de blanco en primer plano y un hombre un poco atrás caminando con un cartel de John's Pizza y Gyro en el fondo.; Un hombre está anunciando un restaurante.
contradicción; Mujer vestida de blanco en primer plano y un hombre un poco atrás caminando con un cartel de John's Pizza y Gyro en el fondo.; La mujer está vestida de negro.
neutral; Mujer vestida de blanco en primer plano y un hombre un poco atrás caminando con un cartel de John's Pizza y Gyro al fondo.; Un hombre y una mujer caminan por una calle concurrida de la ciudad.
vinculación; Mujer vestida de blanco en primer plano y un hombre un poco atrás caminando con un cartel de John's Pizza y Gyro en el fondo.; La mujer está vestida de blanco.
neutral; Mujer vestida de blanco en primer plano y un hombre un poco atrás caminando con un cartel de John's Pizza y Gyro al fondo.; Están trabajando para John's Pizza.
contradicción; Mujer vestida de blanco en primer plano y un hombre un poco atrás caminando con un cartel de John's Pizza y Gyro al fondo.; Natación olímpica.
contradicción; Mujer vestida de blanco en primer plano y un hombre un poco atrás caminando con un cartel de John's Pizza y Gyro al fondo.; Un hombre y un soman están comiendo juntos en John's Pizza and Gyro.
vinculación; Mujer vestida de blanco en primer plano y un hombre un poco atrás caminando con un cartel de John's Pizza y Gyro en el fondo.; Están caminando con un cartel.
neutral; Mujer vestida de blanco en primer plano y un hombre un poco atrás caminando con un cartel de John's Pizza y Gyro al fondo.; La mujer está esperando a un amigo.
contradicción; Mujer vestida de blanco en primer plano y un hombre un poco atrás caminando con un cartel de John's Pizza y Gyro al fondo.; El hombre está sentado mientras tiene un cartel de John's Pizza y Gyro en sus brazos.
vinculación; Mujer vestida de blanco en primer plano y un hombre un poco atrás caminando con un cartel de John's Pizza y Gyro al fondo.; La mujer y el hombre están al aire libre.
neutral; Mujer vestida de blanco en primer plano y un hombre un poco atrás caminando con un cartel de John's Pizza y Gyro al fondo.; Una mujer pidiendo pizza.
neutral; Dos adultos, una mujer vestida de blanco, con sombras y un hombre, ropa gris, caminando por una calle, lejos de un restaurante con una imagen borrosa de una persona de camisa roja oscura en primer plano.; Las personas están emparentadas.
contradicción; Dos adultos, una mujer vestida de blanco, con sombras y un hombre, ropa gris, caminando por una calle, lejos de un restaurante con una imagen borrosa de una persona con camisa roja oscura en primer plano.; Dos adultos cruzan la calle corriendo para escapar de una persona de camisa roja que los persigue.
vinculación; Dos adultos, una mujer vestida de blanco, con sombras y un hombre, ropa gris, caminando por una calle, lejos de un restaurante con una imagen borrosa de una persona de camisa roja oscura en primer plano.; Los adultos son tanto hombres como mujer.
neutral; Dos adultos, una mujer vestida de blanco, con sombras y un hombre, ropa gris, caminando por una calle, lejos de un restaurante con una imagen borrosa de una persona con camisa roja oscura en primer plano.; Dos personas caminan a casa después de una deliciosa cena de bistec.
contradicción; Dos adultos, una mujer vestida de blanco, con sombras y un hombre, ropa gris, caminando por una calle, lejos de un restaurante con una imagen borrosa de una persona con camisa roja oscura en primer plano.; Dos adultos nadando en el agua
vinculación; Dos adultos, una mujer vestida de blanco, con sombras y un hombre, ropa gris, caminando por la calle, lejos de un restaurante con una imagen borrosa de una persona con camisa roja oscura en primer plano.; Dos adultos cruzan una calle .
contradicción; Dos adultos, una mujer vestida de blanco, con sombras y un hombre, ropa gris, caminando por una calle, lejos de un restaurante con una imagen borrosa de una persona con camisa roja oscura en primer plano.; Dos personas en bicicleta hacia un túnel.
vinculación; Dos adultos, una mujer vestida de blanco, con sombras y un hombre, ropa gris, caminando por una calle, lejos de un restaurante con una imagen borrosa de una persona de camisa roja oscura en primer plano.; Dos personas se alejan de un Restaurante al otro lado de la calle.
neutral; Dos adultos, una mujer vestida de blanco, con sombras y un hombre, ropa gris, caminando por una calle, lejos de un restaurante con una imagen borrosa de una persona con camisa roja de color oscuro en primer plano.; Dos adultos caminando por una calle cerca del preso condenado vestido de rojo
neutral; Dos adultos, una mujer vestida de blanco, con sombras y un hombre, ropa gris, caminando por una calle, lejos de un restaurante con una imagen borrosa de una persona de camisa roja oscura en primer plano.; Dos amigos cruzan una calle.
contradicción; Dos adultos, una mujer vestida de blanco, con sombras y un hombre, ropa gris, caminando por una calle, lejos de un restaurante con una imagen borrosa de una persona con camisa roja oscura en primer plano.; Algunas personas suben a un tren.
vinculación; Dos adultos, una mujer vestida de blanco, con sombras y un hombre, ropa gris, caminando por una calle, lejos de un restaurante con una imagen borrosa de una persona con camisa roja oscura en primer plano.; Dos adultos cruzan la calle .
vinculación; Dos adultos, una mujer vestida de blanco, con sombras y un hombre, ropa gris, caminando por la calle, lejos de un restaurante con una imagen borrosa de una persona con camisa roja oscura en primer plano.; Dos adultos caminando por una calle
contradicción; Dos adultos, una mujer vestida de blanco, con sombras y un hombre, ropa gris, caminando por una calle, lejos de un restaurante con una imagen borrosa de una persona con camisa roja de color oscuro en primer plano.; No hay mujeres en el imagen.
neutral; Dos adultos, una mujer vestida de blanco, con sombras y un hombre, ropa gris, caminando por la calle, lejos de un restaurante con una imagen borrosa de una persona con camisa roja oscura en primer plano.; Dos adultos cruzan la calle para escapar de una persona de camisa roja que los persigue.
contradicción; una mujer vestida de blanco y comiendo, camina junto a un hombre que sostiene un maletín; una pareja casada está durmiendo.
vinculación; Una mujer vestida de blanco y comiendo, camina junto a un hombre sosteniendo un maletín.; Una mujer está al lado de un hombre.
neutral; Una mujer vestida de blanco y comiendo, camina junto a un hombre que sostiene un maletín.; Una pareja casada camina uno al lado del otro.
contradicción; una mujer cruza la calle comiendo un plátano, mientras un hombre la sigue con su maletín; nadie tiene comida.
vinculación; Una mujer cruza la calle comiendo un plátano, mientras un hombre la sigue con su maletín.; Una mujer come un plátano y cruza una calle, y hay un hombre detrás de ella.
contradicción; una mujer cruza la calle comiendo un plátano, mientras un hombre la sigue con su maletín; la mujer y el hombre juegan juntos al béisbol.
neutral; una mujer cruza la calle comiendo un plátano, mientras un hombre la sigue con su maletín.; dos compañeros de trabajo cruzan caminos en una calle
contradicción; una mujer camina por la calle comiendo un plátano, mientras un hombre la sigue con su maletín; una mujer come helado caminando por la acera, y hay otra mujer frente a ella con un bolso.
neutral; una mujer cruza la calle comiendo un plátano, mientras que un hombre la sigue con su maletín; el maletín del hombre es para el trabajo.
vinculación; Una mujer cruza la calle comiendo un plátano, mientras que un hombre la sigue con su maletín.; Una persona comiendo.
neutral; una mujer cruza la calle comiendo un plátano, mientras un hombre la sigue con su maletín; una persona que tiene hambre.
neutral; una mujer cruza la calle comiendo un plátano, mientras un hombre la sigue con su maletín; una actriz y su asistente favorito dan un paseo por la ciudad.
vinculación; Una mujer cruza la calle comiendo un plátano, mientras un hombre la sigue con su maletín.; Una mujer que come un plátano cruza una calle
neutral; una mujer camina por la calle comiendo un plátano, mientras un hombre la sigue con su maletín.; la mujer es una seductora
contradicción; una mujer cruza la calle comiendo un plátano, mientras un hombre la sigue con su maletín.; una mujer se sienta a almorzar
contradicción; una mujer cruza la calle comiendo un plátano, mientras un hombre la sigue con su maletín.; la mujer está tomando café en el café
vinculación; Una mujer cruza la calle comiendo un plátano, mientras un hombre la sigue con su maletín.; La mujer está comiendo un plátano.
vinculación; Una mujer cruza la calle comiendo un plátano, mientras un hombre la sigue con su maletín; la mujer está afuera
neutral; Un esquiador se desliza a lo largo de una barandilla de metal.; Un esquiador está cerca de la barandilla mirando hacia abajo.
vinculación; Un esquiador se desliza a lo largo de una barandilla de metal.; Un esquiador está cerca de la barandilla.
contradicción; Un esquiador se desliza a lo largo de una barandilla de metal.; Un esquiador está alejado de la barandilla.
contradicción; Una persona con esquís en un riel por la noche.; La mujer se come un coche
vinculación; Una persona con esquís en un riel por la noche.; La persona esquiando
neutral; Una persona con esquís en un riel por la noche.; Son fantásticos esquiadores
neutral; Un esquiador en verde eléctrico en el borde de una rampa hecha de barras de metal.; El esquiador estaba en el borde de la rampa.
vinculación; Un esquiador en verde eléctrico en el borde de una rampa hecha de barras de metal.; El esquiador vestido de colores brillantes se deslizó por la pista de carreras.
contradicción; Un esquiador en verde eléctrico al borde de una rampa hecha de barras de metal.; El corredor corrió por las calles.
contradicción; Un esquiador uniformado de color amarillo está realizando un truco a través de un objeto con barandilla.; Un snowboarder está montando un telesilla.
neutral; Un esquiador uniformado de color amarillo está realizando un truco a través de un objeto con barandilla.; Un esquiador está compitiendo en una competencia.
vinculación; Un esquiador uniformado amarillo está realizando un truco a través de un objeto con barandilla.; Alguien está practicando deportes de invierno.
vinculación; Un hombre rubio está bebiendo de una fuente pública.; El hombre está bebiendo agua.
neutral; Un hombre rubio está bebiendo de una fuente pública.; El hombre tiene mucha sed.
contradicción; Un hombre rubio está bebiendo de una fuente pública.; El hombre está tomando café.
contradicción; Perro marrón mojado nada hacia la cámara.; El perro está durmiendo en su cama.
neutral; Perro marrón mojado nada hacia la cámara.; Un perro está jugando a buscar en un estanque.
vinculación; Perro marrón mojado nada hacia la cámara.; Un perro está en el agua.
contradicción; Imagen de primer plano de un perro nadando.; Un gato se baña a regañadientes.
neutral; Imagen de primer plano de un perro nadando.; Una cámara subacuática toma una foto de un cachorro.
vinculación; Imagen de primer plano de un perro nadando.; Un perro nada en un cuerpo de agua.
neutral; El perro marrón peludo está nadando en el océano.; Un perro está persiguiendo un pez.
vinculación; El perro marrón peludo está nadando en el océano.; Un perro está nadando.
contradicción; El perro marrón peludo está nadando en el océano.; Un perro corre por el patio.
contradicción; Un gran perro marrón nada hacia la cámara.; Un perro está persiguiendo un palo.
neutral; Un gran perro marrón nada hacia la cámara.; Un fotógrafo está tomando fotografías de un perro.
vinculación; Un gran perro marrón nada hacia la cámara.; Un perro nada hacia la cámara.
neutral; Un hombre vestido de negro con sombrero gris, sosteniendo una horca, dirige un carro tirado por caballos.; El granjero con sombrero gris conduce un carro tirado por caballos.
vinculación; Un hombre vestido de negro con un sombrero gris, sosteniendo una horca, dirige un carro tirado por caballos.; El hombre con el sombrero gris y la horquilla está dirigiendo el carro.
contradicción; Un hombre vestido de negro con un sombrero gris, sosteniendo una horquilla, dirige un carro tirado por caballos.; La mujer con un vestido azul está enganchando un caballo a un carro.
vinculación; Un hombre está conduciendo un Clydesdale por un camino de heno, dentro de un Viejo País.; Un hombre está caminando con su caballo por un camino rural.
contradicción; Un hombre está conduciendo un Clydesdale por un camino de heno, dentro de un Viejo País.; Una mujer con un traje gris está bebiendo té.
neutral; Un hombre está conduciendo un Clydesdale por un camino de heno, dentro de un Viejo País.; Un hombre con sombrero de paja y un mono camina con su caballo por un camino rural.
vinculación; Un agricultor fertilizando su jardín con estiércol con un caballo y un carro.; El hombre está fertilizando su jardín.
contradicción; Un agricultor fertilizando su jardín con estiércol con un caballo y una carreta.; El hombre está en la calle de la ciudad con su caballo y su carreta.
neutral; Un agricultor fertilizando su jardín con estiércol con un caballo y una carreta.; El hombre está en un campo abierto con un caballo y una carreta.
neutral; Un caballo blanco está tirando de un carro mientras un hombre está de pie y observa.; Un caballo está transportando mercancías.
vinculación; Un caballo blanco está tirando de un carro mientras un hombre se para y observa.; Un animal camina afuera.
contradicción; Un caballo blanco está tirando de un carro mientras un hombre está de pie y observa.; Un hombre está mirando una carrera de caballos.
vinculación; Un pequeño grupo de asistentes a la iglesia observa la práctica de un coro.; Un grupo observa una práctica.
-; Un pequeño grupo de asistentes a la iglesia observa la práctica de un coro.; Un coro se presenta frente a una multitud abarrotada.
neutral; Un pequeño grupo de asistentes a la iglesia ven la práctica del coro.; El pastor y los ancianos observan el coro para asegurarse de que sean buenos.
contradicción; un perro deja caer un disco rojo en una playa.; un perro atrapa la pelota en una playa
neutral; un perro deja caer un disco rojo en una playa.; un perro deja caer un disco con un niño
vinculación; un perro deja caer un disco rojo en una playa.; un perro deja caer un disco rojo
neutral; Un hombre y una mujer caminan por una calle en la cima de una colina.; Una pareja casada camina sobre una colina.
vinculación; Un hombre y una mujer caminan por una calle en la cima de una colina.; Un hombre y una mujer caminan por una calle.
contradicción; Un hombre y una mujer caminan por una calle en la cima de una colina.; Dos hombres juegan a la pelota en una colina.
contradicción; Un anciano está bebiendo jugo de naranja en un café.; Un anciano está bebiendo jugo de manzana en un bar.
neutral; Un anciano está bebiendo jugo de naranja en un café.; Un caballero mayor está disfrutando su jugo de naranja en un café nuevo.
vinculación; Un anciano está bebiendo jugo de naranja en un café.; Un anciano está disfrutando de una bebida en un café.
neutral; Una pareja tomados de la mano camina por una calle.; Dos hombres se toman de la mano mientras caminan por la calle.
contradicción; Una pareja cogidos de la mano camina por una calle.; Hay gente sentada al costado de la carretera.
vinculación; Una pareja tomados de la mano camina por una calle.; La gente está tomados de la mano y caminando.
vinculación; Una pareja camina por un pueblo de ladrillos blancos.; La gente camina al aire libre.
contradicción; Una pareja camina por una ciudad de ladrillos blancos.; Un hombre y una mujer caminan en una ciudad de ladrillos marrones.
neutral; Una pareja camina por un pueblo de ladrillos blancos.; Un hombre y una mujer caminan por una gran ciudad.
contradicción; Niños volviendo a casa de la escuela.; Los niños están en la biblioteca.
vinculación; Niños que regresan a casa de la escuela.; Los niños de la escuela regresan a casa.
neutral; Los niños regresan a casa de la escuela.; Los niños caminan por la tarde.
contradicción; gente escuchando un coro en una iglesia católica; gente escuchando una banda de metal.
vinculación; Personas que escuchan un coro en una iglesia católica.; Coro cantando en misa.
neutral; La gente escucha un coro en una iglesia católica.; La gente está en misa para una primera comunión
contradicción; Ciclistas esperando en una intersección.; Un ciclista está sentado almorzando en el centro comercial.
implicación; Ciclistas esperando en una intersección.; Los ciclistas están afuera.
neutral; Ciclistas esperando en una intersección.; Ciclistas esperando que pase un automóvil.
neutral; Ciclistas esperando en una intersección.; Una persona en una bicicleta está esperando mientras el semáforo está en verde.
vinculación; Ciclistas esperando en una intersección.; Las bicicletas están en una carretera.
vinculación; Ciclistas esperando en una intersección.; Una persona en bicicleta está cerca de una calle.
implicación; Ciclistas esperando en una intersección.; Los ciclistas se detienen y esperan el tráfico en la intersección.
contradicción; Ciclistas esperando en una intersección.; Los ciclistas recorren el centro comercial en sus bicicletas.
implicación; Ciclistas esperando en una intersección.; Ciclistas esperando su turno para cruzar.
contradicción; ciclistas esperando en una intersección; ciclistas que circulan por una autopista.
contradicción; Ciclistas esperando en una intersección.; Los ciclistas están muertos.
neutral; Ciclistas esperando en una intersección.; Los ciclistas se dirigen a la librería.
neutral; Ciclistas esperando en una intersección.; Los ciclistas están en una carrera.
contradicción; Ciclistas esperando en una intersección.; Los ciclistas están en casa.
neutral; Ciclistas esperando en una intersección.; Un grupo de ciclistas permanece en la acera en la intersección.
contradicción; Gente esperando en un semáforo en bicicletas.; Un grupo de amigos está en un bote
vinculación; Personas esperando en un semáforo en bicicletas.; Personas con bicicletas.
neutral; Personas esperando en un semáforo en bicicletas.; Hay personas en bicicletas en un semáforo
contradicción; Gente esperando en un semáforo en bicicletas.; La gente está dentro esperando.
vinculación; Gente esperando en un semáforo en bicicletas.; Hay algunas personas afuera.
vinculación; Personas esperando en un semáforo en bicicletas.; Personas están en sus bicicletas.
neutral; Gente esperando en un semáforo en bicicleta.; La gente va en bicicleta al gimnasio.
neutral; Gente esperando en un semáforo en bicicleta.; Gente en bicicleta por la ciudad.
vinculación; Gente esperando en un semáforo en bicicleta.; La gente está en bicicleta.
neutral; Gente esperando en un semáforo en bicicletas.; Hay tráfico al lado de las bicicletas.
contradicción; Gente esperando en un semáforo en bicicletas.; La gente está pasando un semáforo en rojo.
contradicción; Gente esperando en un semáforo en bicicleta.; Gente en una carrera de autos.
vinculación; Gente esperando en un semáforo en bicicleta.; Hombres y mujeres afuera en una esquina.
contradicción; Gente esperando en un semáforo en bicicletas.; Una mariquita ha aterrizado en una hermosa rosa rosa.
neutral; Personas esperando en un semáforo en bicicletas.; Hombres y mujeres en sus motocicletas, con cascos y chaquetas protectoras.
contradicción; Gente en bicicleta esperando en una intersección.; La gente está en patinetas.
vinculación; Gente en bicicleta esperando en una intersección.; Gente andando en bicicleta.
neutral; Gente en bicicleta esperando en una intersección.; Hay una carrera de bicicletas en este momento.
neutral; Personas en bicicleta esperando en una intersección.; Personas en bicicleta disfrutan de una conversación esperando el tráfico.
neutral; Gente en bicicleta esperando en una intersección.; La gente está tratando de llegar a la tienda al otro lado de la calle.
vinculación; Gente en bicicleta esperando en una intersección.; Gente esperando en el tráfico.
neutral; Gente en bicicleta esperando en una intersección.; Algunas personas en bicicleta se detienen en un cruce.
contradicción; Gente en bicicleta esperando en una intersección.; Gente esperando a pie.
vinculación; Gente en bicicleta esperando en una intersección.; Hay ciclistas detenidos en una carretera.
contradicción; Gente en bicicleta esperando en una intersección.; La gente está durmiendo.
contradicción; Gente en bicicleta esperando en una intersección.; La gente está esperando que comience la película.
vinculación; Personas en bicicleta esperando en una intersección.; Más de una persona en bicicleta está obedeciendo las leyes de tránsito.
neutral; Personas en bicicleta esperando en una intersección.; Personas en bicicletas de montaña.
vinculación; Gente en bicicleta esperando en una intersección.; Hay gente en bicicleta.
contradicción; Gente en bicicleta esperando en una intersección.; Gente en bicicleta acelera a través de una intersección.
contradicción; Un hombre con una camisa roja está mirando a otro hombre que está parado encima de un carro adjunto lleno hasta el tope.; El carro está vacío.
contradicción; Un hombre con una camisa roja está mirando a otro hombre que está parado en la parte superior de un carro adjunto lleno hasta el tope.; Un hombre está dando a otro hombre un paseo en caballito.
vinculación; Un hombre con una camisa roja está mirando a otro hombre que está parado encima de un carro adjunto lleno hasta arriba.; Un carro está lleno de artículos.
contradicción; Un hombre con una camisa roja está mirando a otro hombre que está parado encima de un carro adjunto lleno hasta arriba.; Un hombre está durmiendo debajo de un banco.
vinculación; Un hombre con una camisa roja está mirando a otro hombre que está parado encima de un carro adjunto lleno hasta arriba.; Un hombre mira a otro hombre.
neutral; Un hombre con una camisa roja está mirando a otro hombre que está parado encima de un carro adjunto lleno hasta el tope.; Un vendedor de productos agrícolas es vigilado por un trabajador del departamento de salud.
vinculación; Un hombre con una camisa roja está mirando a otro hombre que está parado encima de un carro adjunto lleno hasta arriba.; Alguien está encima de un carro lleno de artículos, mientras alguien más observa.
contradicción; Un hombre con una camisa roja está mirando a otro hombre que está parado encima de un carro adjunto lleno hasta arriba.; El hombre está mirando a una mujer.
neutral; Un hombre con una camisa roja está mirando a otro hombre que está parado encima de un carrito adjunto lleno hasta arriba.; Un comerciante y su asistente están tratando de determinar cuántos productos hay en su carrito.
neutral; Un hombre con una camisa roja está mirando a otro hombre que está parado encima de un carro adjunto lleno hasta arriba.; El carro está lleno de carbón.
vinculación; Un hombre con una camisa roja está mirando a otro hombre que está parado en la parte superior de un carro adjunto lleno hasta la parte superior.; Un hombre está parado en la parte superior de un carro.
vinculación; Un hombre con una camisa roja está mirando a otro hombre que está parado en la parte superior de un carro adjunto lleno hasta el tope.; El carro está lleno hasta el tope.
neutral; Un hombre con una camisa roja está mirando a otro hombre que está parado encima de un carro adjunto lleno hasta arriba.; Los hombres están afuera.
contradicción; Un hombre con una camisa roja está mirando a otro hombre que está parado encima de un carro adjunto lleno hasta arriba.; Un hombre come pulpo.
neutral; Un hombre con una camisa roja está mirando a otro hombre que está parado encima de un carro adjunto lleno hasta arriba.; Un hombre está parado en un carro lleno de comestibles.
vinculación; Un niño está bebiendo de una fuente de agua con forma de mujer.; Un hombre está tomando un trago de agua.
neutral; un niño está bebiendo de una fuente de agua con forma de mujer; un escultor toma un trago de una fuente que hizo que se parece a su novia.
contradicción; Un niño está bebiendo de una fuente de agua con forma de mujer.; Un hombre está bebiendo limonada de un vaso.
neutral; tres ciclistas se detienen en la ciudad.; los autos se detienen en la ciudad
vinculación; tres ciclistas se detienen en la ciudad.; Los ciclistas se detienen en las ciudades
vinculación; tres ciclistas se detienen en la ciudad.; una ciudad ha sido testigo de la llegada de tres ciclistas.
neutral; tres ciclistas se detienen en la ciudad.; Thoes ciclistas están disminuyendo la velocidad
neutral; tres motociclistas se detienen en la ciudad.; Los motociclistas están montando Harley.
contradicción; tres ciclistas se detienen en la ciudad.; Tres ciclistas van a 100 mph
contradicción; tres ciclistas se detienen en la ciudad.; Los ciclistas respiran agua
vinculación; tres ciclistas se detienen en la ciudad.; Los ciclistas se detienen por gasolina
neutral; tres ciclistas se detienen en la ciudad.; Tres ciclistas viajan en un paquete.
contradicción; tres motociclistas se detienen en la ciudad.; hay un perro muy enojado.
neutral; tres ciclistas paran en la ciudad; tres ciclistas descansan en la ciudad.
vinculación; tres ciclistas paran en la ciudad.; Los ciclistas están en la ciudad.
vinculación; tres ciclistas paran en la ciudad.; Un grupo de ciclistas están en la calle.
contradicción; tres motociclistas se detienen en la ciudad.; Los motociclistas no se detienen en la ciudad.
contradicción; tres ciclistas se detienen en la ciudad; cinco ciclistas circulan en la carretera.
contradicción; Dos personas cargando maleza en un remolque atado a un camión.; Un hombre lleva una canoa al agua.
vinculación; Dos personas cargando maleza en un remolque unido a un camión.; Un par de personas están cargando maleza en un remolque que está unido a un camión.
neutral; Dos personas cargando la maleza en un remolque acoplado a un camión.; Dos personas cargando la maleza en un remolque acoplado a un camión para que puedan ir a acampar y quemarlo.
